Age,Gender,Weight(kg),Height(m),Resting_BPM,Workout_Frequency(days/week),Experience_Level,Session_Duration(min),Workout_Type,Fat_Percentage,Water_Intake(liters),BMI
41,Male,120.8,1.67,54,2,1,50,HIIT,45.202,3,43.31
39,Female,42.5,1.75,52,2,1,70,Strength,20.226,2.1,13.88
55, Female ,75.2,1.67,51,2,1,80, HIIT         ,39.602,2.2,26.96
38, Male   ,71.9,1.77,72,2,1,70, Cardio       ,30.88,3.1,22.95
50, Female ,71,1.68,70,2,1,70, Yoga         ,36.292,2.5,25.16
29, Male   ,120.9,1.78,65,2,1,50, Yoga         ,47.062,3.4,38.16
44, Male   ,65.2,1.8,68,2,1,40, HIIT         ,28.864,2.7,20.12
54, Female ,50.2,1.61,67,2,1,90, HIIT         ,30.264,2.7,19.37
24, Female ,58.9,1.51,68,2,1,60, Cardio       ,31.116,2.5,25.83
31, Female ,48.8,1.51,60,2,1,90, Cardio       ,27.41,2,21.4
19, Female ,60.5,1.59,53,2,1,70, Cardio       ,27.686,2.2,23.93
37, Male   ,124.2,1.76,50,2,1,90, HIIT         ,51.23,2.8,40.1
25, Male   ,88.1,1.95,68,2,1,90, Cardio       ,28.154,3,23.17
35, Female ,44.6,1.62,65,2,1,30, HIIT         ,23.038,2,16.99
48, Female ,67.1,1.61,74,2,1,40, Cardio       ,36.708,1.5,25.89
58, Female ,66.1,1.75,57,2,1,40, Cardio       ,33.836,1.8,21.58
46, Male   ,103.9,1.77,54,2,1,70, Yoga         ,44.972,2.9,33.16
18, Female ,52.3,1.74,58,2,1,70, Cardio       ,19.464,2.2,17.27
26, Female ,76.7,1.63,72,2,1,70, Strength     ,35.224,1.7,28.87
34, Female ,75.6,1.6,51,2,1,40, HIIT         ,37.856,2.7,29.53
56, Male   ,129,1.78,64,2,1,80, Yoga         ,56.332,2.7,40.71
41, Male   ,71.7,1.96,51,2,1,30, Yoga         ,26.422,2.5,18.66
18, Male   ,92.4,1.74,50,2,1,90, Yoga         ,35.364,3.1,30.52
56, Male   ,129.5,1.95,66,2,1,60, Strength     ,48.352,3.5,34.06
32, Female ,59,1.66,64,2,1,30, Cardio       ,27.652,1.8,21.41
54, Male   ,86.1,1.95,64,2,1,70, Yoga         ,34.188,3.4,22.64
56, Male   ,69.3,1.68,58,2,1,40, Yoga         ,36.94,2.1,24.55
32, Female ,70.5,1.62,58,2,1,70, Strength     ,34.192,1.8,26.86
49, Male   ,115.3,1.91,61,2,1,80, HIIT         ,43.802,3.2,31.61
37, Male   ,103.5,1.89,57,2,1,30, Cardio       ,37.874,3.1,28.97
45, Male   ,113.4,1.71,63,2,1,50, Strength     ,51.486,2.3,38.78
18, Male   ,70,1.61,71,2,1,80, Strength     ,31.152,2.5,27.01
54, Female ,72.3,1.78,72,2,1,80, Cardio       ,34.404,1.8,22.82
50, Male   ,51.1,1.98,52,2,1,60, Yoga         ,21.736,2.4,13.03
19, Male   ,87.8,1.78,72,2,1,80, Cardio       ,32.222,3.3,27.71
43, Male   ,108.6,1.73,66,2,1,80, Cardio       ,48.038,2.2,36.29
43, Female ,48.4,1.61,69,2,1,80, Cardio       ,26.894,2.4,18.67
36, Male   ,110.2,1.77,74,2,1,70, HIIT         ,45.096,3.4,35.18
